frame,track_id,class_id,class_name,confidence,x1,y1,x2,y2
56,7,0,person,0.8049,498.2,241.7,519.2,306.9
56,5,0,person,0.5188,201.4,239.6,213.6,266.8
56,12,2,car,0.4943,294.4,235.4,321.7,265.5
57,1,2,car,0.7629,253.3,241.0,278.9,261.3
57,2,0,person,0.8222,521.0,233.6,547.3,307.1
57,3,7,truck,0.3539,291.8,235.2,322.5,265.9
57,6,0,person,0.7576,457.4,238.6,475.2,288.0
57,7,0,person,0.7430,499.6,240.5,521.5,308.1
57,5,0,person,0.6173,199.9,239.6,211.9,266.8
57,12,2,car,0.5514,292.9,235.4,320.4,265.7
57,13,0,person,0.3873,370.0,243.0,376.5,257.0
58,1,2,car,0.7865,252.0,241.1,277.7,261.4
58,2,0,person,0.8448,523.8,233.4,550.4,308.2
58,6,0,person,0.7725,458.4,238.2,476.2,288.1
58,7,0,person,0.7481,501.7,240.9,523.8,308.9
58,5,0,person,0.6409,198.3,239.8,210.4,267.4
58,13,0,person,0.3926,369.3,243.2,375.6,256.7
59,1,2,car,0.8037,250.9,241.3,276.7,261.6
59,2,0,person,0.8326,527.2,233.4,554.2,309.5
59,6,0,person,0.7602,459.5,238.4,477.5,288.6
59,7,0,person,0.8338,504.8,240.7,527.5,310.4
59,5,0,person,0.6146,195.9,239.4,208.9,269.5
59,13,0,person,0.3650,368.7,243.1,375.1,256.7
59,8,0,person,0.3970,447.0,252.1,463.5,290.1
59,3,2,car,0.4414,288.8,234.3,320.1,266.1
60,1,2,car,0.7769,249.8,241.4,275.6,261.7
60,2,0,person,0.8575,530.7,233.5,558.3,311.3
60,6,0,person,0.7377,460.5,238.7,478.6,289.1
60,7,0,person,0.8649,507.2,240.2,530.5,311.9
60,5,0,person,0.6466,193.9,239.0,207.1,270.3
60,13,0,person,0.4611,367.9,243.0,374.5,256.8
60,3,2,car,0.4597,288.2,234.5,318.8,265.8
61,1,2,car,0.7602,248.2,241.2,274.2,261.6
61,2,0,person,0.8497,534.4,233.9,562.3,313.3
61,6,0,person,0.7492,461.6,239.1,480.2,291.3
61,7,0,person,0.8438,510.4,240.1,534.0,313.3
61,5,0,person,0.6558,192.2,239.1,205.3,270.4
61,3,2,car,0.6775,287.0,234.4,317.8,266.1
62,1,2,car,0.7783,246.7,241.1,273.0,261.7
62,2,0,person,0.8533,538.0,233.7,566.4,315.0
62,6,0,person,0.7905,462.9,239.3,481.5,291.9
62,7,0,person,0.8143,514.1,240.3,537.7,314.4
62,5,0,person,0.4763,191.3,239.6,203.2,267.8
62,3,2,car,0.6115,286.1,234.8,316.5,266.4
62,8,0,person,0.3621,449.3,252.7,466.2,291.6
63,1,2,car,0.7830,245.5,241.0,272.0,261.7
63,2,0,person,0.8322,542.0,233.6,571.1,317.1
63,6,0,person,0.8078,463.5,239.2,482.4,292.5
63,7,0,person,0.8167,517.8,240.3,541.4,315.5
63,5,0,person,0.6331,189.3,239.5,201.6,268.9
63,3,2,car,0.4230,285.2,234.5,315.7,266.5
64,1,2,car,0.7806,244.4,241.3,270.8,261.8
64,2,0,person,0.8431,546.4,233.3,576.3,318.1
64,6,0,person,0.7766,464.4,239.3,483.5,293.7
64,7,0,person,0.8379,520.3,240.0,544.7,317.8
64,5,0,person,0.6751,186.7,238.7,199.8,270.0
64,3,2,car,0.4006,283.7,233.9,314.6,266.7
64,17,2,car,0.5448,485.6,245.3,511.9,264.3
64,8,0,person,0.5005,450.5,253.8,467.5,293.1
65,1,2,car,0.8018,242.9,241.0,269.9,262.1
65,2,0,person,0.8767,550.1,233.5,580.7,320.1
65,6,0,person,0.7781,465.4,239.3,484.7,294.3
65,7,0,person,0.8218,523.3,240.2,548.2,319.6
65,5,0,person,0.6832,184.5,238.4,197.9,270.7
65,3,5,bus,0.5791,282.4,233.7,313.5,267.0
65,17,2,car,0.3785,487.9,246.6,511.7,263.8
65,8,0,person,0.5137,450.6,254.0,467.8,294.3
66,1,2,car,0.8111,241.3,240.9,268.7,262.3
66,2,0,person,0.8759,554.0,233.2,585.2,321.7
66,6,0,person,0.7341,467.4,239.1,487.2,295.3
66,7,0,person,0.8154,526.5,240.6,552.0,321.6
66,5,0,person,0.7174,182.1,239.0,195.4,270.6
66,3,2,car,0.5328,280.8,233.5,312.2,267.3
66,8,0,person,0.6138,451.2,253.6,468.7,295.0
67,1,2,car,0.7771,240.0,241.1,267.1,262.3
67,2,0,person,0.8320,557.9,232.5,590.0,323.3
67,6,0,person,0.7639,468.4,238.8,488.8,296.4
67,7,0,person,0.8097,530.5,240.5,556.5,323.3
67,5,0,person,0.6903,180.4,239.2,193.5,270.1
67,3,2,car,0.5892,279.8,233.2,311.2,267.2
67,8,0,person,0.5285,451.5,253.2,469.2,295.3
68,1,2,car,0.7511,238.1,240.8,265.9,262.5
68,2,0,person,0.8718,561.5,232.3,594.2,325.1
68,6,0,person,0.7623,469.0,238.6,489.8,297.4
68,7,0,person,0.8281,535.2,240.5,561.9,325.4
68,5,0,person,0.6712,178.2,238.5,191.6,270.1
68,3,2,car,0.6790,278.9,233.7,309.8,267.2
68,8,0,person,0.6127,452.4,253.3,470.3,296.2
69,1,2,car,0.7781,236.8,240.7,264.6,262.5
69,2,0,person,0.8689,566.9,231.6,600.7,327.2
69,6,0,person,0.7720,470.0,237.9,491.2,298.2
69,7,0,person,0.8319,539.1,241.0,566.8,328.4
69,5,0,person,0.6444,175.7,237.9,189.5,270.8
69,3,2,car,0.6666,277.9,234.0,308.6,267.4
69,8,0,person,0.6332,453.5,253.4,471.9,297.3
70,1,2,car,0.7378,235.2,240.9,263.0,262.5
70,2,0,person,0.8491,572.6,230.8,607.4,329.5
70,6,0,person,0.7615,472.1,237.0,493.9,298.8
70,7,0,person,0.8319,543.9,240.7,572.5,331.3
70,5,0,person,0.6006,173.4,238.9,187.1,271.1
70,3,2,car,0.5631,276.5,234.1,307.2,267.6
70,21,7,truck,0.3852,276.8,233.8,306.7,267.5
71,1,2,car,0.7891,234.0,240.7,262.1,262.5
71,2,0,person,0.8794,578.8,230.4,614.1,330.1
71,6,0,person,0.7667,473.9,237.1,495.9,299.5
71,7,0,person,0.8475,549.2,240.7,578.9,334.6
71,5,0,person,0.7263,171.1,239.2,184.8,271.3
71,3,2,car,0.5263,275.1,233.6,306.3,267.6
71,13,0,person,0.3694,359.0,242.8,366.4,257.8
72,1,2,car,0.7621,232.5,240.4,261.2,262.8
72,2,0,person,0.8650,585.1,229.5,621.3,332.0
72,6,0,person,0.7338,474.9,237.6,496.9,300.0
72,7,0,person,0.8536,554.4,241.2,584.8,336.8
72,5,0,person,0.6066,168.5,239.1,182.3,271.2
72,3,2,car,0.6217,273.8,234.0,304.9,267.8
72,24,0,person,0.5507,155.1,239.9,166.9,265.2
72,8,0,person,0.4842,459.3,254.9,478.3,300.1
73,1,2,car,0.7709,230.7,240.6,259.4,262.9
73,2,0,person,0.8703,592.6,229.4,630.3,335.4
73,6,0,person,0.7733,476.3,238.2,498.5,300.9
73,7,0,person,0.8224,559.5,241.3,590.8,339.6
73,5,0,person,0.7062,166.4,239.1,180.1,271.1
73,3,2,car,0.5569,272.9,233.8,304.0,267.6
73,8,0,person,0.6109,460.6,255.1,479.5,300.4
73,13,0,person,0.3625,357.4,243.1,364.9,258.3
74,1,2,car,0.7935,229.2,240.6,258.4,263.3
74,2,0,person,0.8294,599.4,230.5,637.9,338.3
74,6,0,person,0.7464,478.0,237.6,501.3,302.4
74,7,0,person,0.7533,567.7,241.1,600.7,342.1
74,5,0,person,0.6663,163.8,239.7,177.6,271.9
74,3,2,car,0.7264,271.2,233.8,302.4,267.8
74,8,0,person,0.6482,462.5,255.3,482.0,302.1
75,1,2,car,0.8296,228.3,240.5,257.3,263.1
75,2,0,person,0.8236,605.5,231.3,640.0,335.2
75,6,0,person,0.7239,481.2,237.2,505.4,304.0
75,7,0,person,0.8218,573.3,240.7,607.1,344.9
75,5,0,person,0.6168,161.0,239.7,175.1,272.8
75,3,2,car,0.6350,269.7,233.7,301.1,268.0
