frame,track_id,class_name,warning_type,distance_m,ttc_s,x1,y1,x2,y2
35,2,car,TTC WARNING,20.2,2.8,635.0,492.9,728.5,559.7
35,1,car,FRONT OBJECT,16.3,5.6,661.6,493.6,793.1,576.4
35,3,car,VEHICLE TOO CLOSE,6.4,2.8,864.1,444.7,1163.3,656.1
35,3,car,TTC WARNING,6.4,2.8,864.1,444.7,1163.3,656.1
36,2,car,FRONT OBJECT,20.1,2.8,637.7,492.2,732.0,559.4
36,2,car,TTC WARNING,20.1,2.8,637.7,492.2,732.0,559.4
36,1,car,FRONT OBJECT,16.1,6.5,662.3,493.2,796.3,576.9
36,3,car,VEHICLE TOO CLOSE,6.3,2.4,865.2,442.8,1173.0,658.3
36,3,car,TTC WARNING,6.3,2.4,865.2,442.8,1173.0,658.3
37,2,car,FRONT OBJECT,19.7,2.4,642.5,491.7,739.3,560.2
37,2,car,TTC WARNING,19.7,2.4,642.5,491.7,739.3,560.2
37,1,car,FRONT OBJECT,16.0,6.1,664.0,492.6,799.5,577.1
37,3,car,VEHICLE TOO CLOSE,6.2,2.3,864.5,440.9,1179.8,660.1
37,3,car,TTC WARNING,6.2,2.3,864.5,440.9,1179.8,660.1
38,2,car,FRONT OBJECT,19.7,2.4,646.1,491.4,743.2,559.9
38,2,car,TTC WARNING,19.7,2.4,646.1,491.4,743.2,559.9
38,1,car,FRONT OBJECT,15.9,6.2,666.3,492.2,803.3,577.2
38,3,car,VEHICLE TOO CLOSE,6.0,2.0,866.7,438.9,1191.1,663.1
38,3,car,TTC WARNING,6.0,2.0,866.7,438.9,1191.1,663.1
39,2,car,FRONT OBJECT,19.1,2.2,649.0,490.4,749.6,561.0
39,2,car,TTC WARNING,19.1,2.2,649.0,490.4,749.6,561.0
39,1,car,FRONT OBJECT,15.6,4.8,666.3,491.4,805.7,577.9
39,3,car,VEHICLE TOO CLOSE,5.8,1.7,868.5,436.9,1205.2,668.8
39,3,car,TTC WARNING,5.8,1.7,868.5,436.9,1205.2,668.8
40,2,car,FRONT OBJECT,19.1,2.3,651.2,489.9,752.2,560.7
40,2,car,TTC WARNING,19.1,2.3,651.2,489.9,752.2,560.7
40,1,car,FRONT OBJECT,15.7,4.6,667.2,491.0,806.7,577.3
40,3,car,VEHICLE TOO CLOSE,5.7,1.6,871.1,435.1,1217.6,673.4
40,3,car,TTC WARNING,5.7,1.6,871.1,435.1,1217.6,673.4
41,2,car,FRONT OBJECT,19.0,2.4,654.8,489.4,756.5,560.3
41,2,car,TTC WARNING,19.0,2.4,654.8,489.4,756.5,560.3
41,1,car,FRONT OBJECT,15.7,4.8,669.7,490.5,809.3,576.6
41,3,car,VEHICLE TOO CLOSE,5.5,1.4,874.7,432.8,1233.4,679.5
41,3,car,TTC WARNING,5.5,1.4,874.7,432.8,1233.4,679.5
42,2,car,FRONT OBJECT,19.1,3.0,656.9,489.3,758.5,560.0
42,1,car,FRONT OBJECT,15.6,5.3,672.1,490.1,812.7,576.5
42,3,car,VEHICLE TOO CLOSE,5.4,1.3,879.6,431.3,1242.2,679.9
42,3,car,TTC WARNING,5.4,1.3,879.6,431.3,1242.2,679.9
43,2,car,FRONT OBJECT,18.9,3.5,660.8,488.3,763.8,559.8
43,1,car,FRONT OBJECT,15.5,5.9,673.6,489.2,816.6,576.3
43,3,car,VEHICLE TOO CLOSE,5.3,1.2,882.8,429.6,1255.5,685.2
43,3,car,TTC WARNING,5.3,1.2,882.8,429.6,1255.5,685.2
44,2,car,FRONT OBJECT,18.9,4.1,662.9,488.2,765.6,559.7
44,1,car,FRONT OBJECT,15.2,5.0,673.0,488.1,818.8,576.8
44,3,car,VEHICLE TOO CLOSE,5.2,1.2,889.3,427.8,1268.8,688.0
44,3,car,TTC WARNING,5.2,1.2,889.3,427.8,1268.8,688.0
45,1,car,FRONT OBJECT,15.1,5.0,675.4,487.5,822.3,576.8
45,3,car,VEHICLE TOO CLOSE,5.1,1.2,893.2,425.2,1278.6,689.7
45,3,car,TTC WARNING,5.1,1.2,893.2,425.2,1278.6,689.7
46,1,car,FRONT OBJECT,14.9,4.5,677.7,487.0,826.5,577.6
46,3,car,VEHICLE TOO CLOSE,5.0,1.3,895.2,421.5,1280.0,692.0
46,3,car,TTC WARNING,5.0,1.3,895.2,421.5,1280.0,692.0
46,2,car,FRONT OBJECT,19.0,,668.7,487.9,770.4,558.8
47,1,car,FRONT OBJECT,14.8,4.2,679.3,486.7,828.8,577.7
47,3,car,VEHICLE TOO CLOSE,4.7,1.2,891.5,418.1,1280.0,703.9
47,3,car,TTC WARNING,4.7,1.2,891.5,418.1,1280.0,703.9
48,1,car,FRONT OBJECT,14.9,4.5,681.4,486.4,830.3,576.8
48,3,car,VEHICLE TOO CLOSE,4.6,1.2,894.4,416.4,1280.0,707.6
48,3,car,TTC WARNING,4.6,1.2,894.4,416.4,1280.0,707.6
49,1,car,FRONT OBJECT,14.8,4.2,683.2,485.9,834.1,577.3
49,3,car,VEHICLE TOO CLOSE,4.6,1.2,899.8,414.1,1280.0,705.4
49,3,car,TTC WARNING,4.6,1.2,899.8,414.1,1280.0,705.4
50,1,car,FRONT OBJECT,14.5,3.8,685.3,485.6,838.6,578.4
50,3,car,VEHICLE TOO CLOSE,4.5,1.3,899.4,408.8,1280.0,709.0
50,3,car,TTC WARNING,4.5,1.3,899.4,408.8,1280.0,709.0
51,1,car,FRONT OBJECT,14.2,3.5,687.6,485.1,843.9,579.9
51,3,car,VEHICLE TOO CLOSE,4.4,1.2,902.7,405.4,1280.0,710.2
51,3,car,TTC WARNING,4.4,1.2,902.7,405.4,1280.0,710.2
52,1,car,FRONT OBJECT,14.1,3.4,689.8,484.7,847.9,580.7
52,3,car,VEHICLE TOO CLOSE,4.4,1.3,907.0,401.9,1280.0,712.3
52,3,car,TTC WARNING,4.4,1.3,907.0,401.9,1280.0,712.3
53,1,car,FRONT OBJECT,13.8,3.1,691.4,484.1,852.4,582.1
53,3,car,VEHICLE TOO CLOSE,4.3,1.4,913.6,397.2,1280.0,712.4
53,3,car,TTC WARNING,4.3,1.4,913.6,397.2,1280.0,712.4
54,3,car,VEHICLE TOO CLOSE,4.2,1.5,918.9,397.5,1280.0,715.4
54,3,car,TTC WARNING,4.2,1.5,918.9,397.5,1280.0,715.4
55,3,car,VEHICLE TOO CLOSE,4.1,1.6,919.7,391.8,1280.0,718.8
55,3,car,TTC WARNING,4.1,1.6,919.7,391.8,1280.0,718.8
56,3,car,VEHICLE TOO CLOSE,4.1,2.0,928.2,389.9,1280.0,719.5
56,3,car,TTC WARNING,4.1,2.0,928.2,389.9,1280.0,719.5
57,3,car,VEHICLE TOO CLOSE,4.0,1.9,933.6,384.9,1280.0,719.5
57,3,car,TTC WARNING,4.0,1.9,933.6,384.9,1280.0,719.5
58,3,car,VEHICLE TOO CLOSE,4.0,1.9,940.3,383.5,1280.0,719.7
58,3,car,TTC WARNING,4.0,1.9,940.3,383.5,1280.0,719.7
59,3,car,VEHICLE TOO CLOSE,4.0,2.2,949.2,384.3,1280.0,719.9
59,3,car,TTC WARNING,4.0,2.2,949.2,384.3,1280.0,719.9
60,3,car,VEHICLE TOO CLOSE,4.0,2.6,959.9,384.2,1280.0,720.0
60,3,car,TTC WARNING,4.0,2.6,959.9,384.2,1280.0,720.0
61,3,car,VEHICLE TOO CLOSE,4.0,3.1,968.3,383.3,1280.0,720.0
62,3,car,VEHICLE TOO CLOSE,4.0,4.5,978.1,383.1,1280.0,720.0
63,3,car,VEHICLE TOO CLOSE,4.0,7.3,983.8,379.1,1280.0,720.0
64,3,car,VEHICLE TOO CLOSE,3.9,,993.9,371.4,1280.0,720.0
65,3,car,VEHICLE TOO CLOSE,3.8,6.1,998.3,362.0,1280.0,720.0
66,3,car,VEHICLE TOO CLOSE,3.7,4.4,1006.9,355.2,1280.0,720.0
67,3,car,VEHICLE TOO CLOSE,3.6,2.8,1016.4,348.2,1280.0,720.0
67,3,car,TTC WARNING,3.6,2.8,1016.4,348.2,1280.0,720.0
68,3,car,VEHICLE TOO CLOSE,3.6,2.3,1027.3,343.8,1280.0,720.0
68,3,car,TTC WARNING,3.6,2.3,1027.3,343.8,1280.0,720.0
69,3,car,VEHICLE TOO CLOSE,3.5,1.9,1036.2,330.7,1280.0,719.7
69,3,car,TTC WARNING,3.5,1.9,1036.2,330.7,1280.0,719.7
70,3,car,VEHICLE TOO CLOSE,3.4,1.6,1049.0,326.0,1280.0,717.6
70,3,car,TTC WARNING,3.4,1.6,1049.0,326.0,1280.0,717.6
71,3,car,VEHICLE TOO CLOSE,3.5,1.7,1064.9,332.0,1280.0,716.5
71,3,car,TTC WARNING,3.5,1.7,1064.9,332.0,1280.0,716.5
72,3,car,VEHICLE TOO CLOSE,3.6,2.2,1077.5,338.4,1280.0,716.8
72,3,car,TTC WARNING,3.6,2.2,1077.5,338.4,1280.0,716.8
